participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
7	discrimination	1	42	"step7,silence1000,step7"	different	3.170663083	1000	step7	step7	same	no
7	discrimination	1	43	"step7,silence2000,step5"	different	0.775164997	2000	step7	step5	different	yes
7	discrimination	1	44	"step7,silence2000,step7"	same	0.95840109	2000	step7	step7	same	yes
7	discrimination	1	45	"step7,silence250,step5"	different	0.780597901	250	step7	step5	different	yes
7	discrimination	1	46	"step7,silence250,step7"	same	1.001170954	250	step7	step7	same	yes
7	discrimination	1	47	"step7,silence500,step5"	different	0.84660102	500	step7	step5	different	yes
7	discrimination	1	48	"step7,silence500,step7"	same	0.797274932	500	step7	step7	same	yes
7	discrimination	1	49	"step7,step5"	different	1.224531016	0	step7	step5	different	yes
7	discrimination	1	50	"step7,step7"	same	6.369773005	0	step7	step7	same	yes
7	discrimination	1	51	"step1,silence1000,step1"	same	0.821085984	1000	step1	step1	same	yes
7	discrimination	1	52	"step1,silence1000,step3"	same	0.357935961	1000	step1	step3	different	no
7	discrimination	1	53	"step1,silence2000,step1"	same	0.610434031	2000	step1	step1	same	yes
7	discrimination	1	54	"step1,silence2000,step3"	same	0.467652951	2000	step1	step3	different	no
7	discrimination	1	55	"step1,silence250,step1"	same	0.351557995	250	step1	step1	same	yes
7	discrimination	1	56	"step1,silence250,step3"	same	1.090291009	250	step1	step3	different	no
7	discrimination	1	57	"step1,silence500,step1"	same	0.435571097	500	step1	step1	same	yes
7	discrimination	1	58	"step1,silence500,step3"	same	0.974059944	500	step1	step3	different	no
7	discrimination	1	59	"step1,step1"	same	0.566977885	0	step1	step1	same	yes
7	discrimination	1	60	"step1,step3"	same	2.100190959	0	step1	step3	different	no
7	discrimination	1	61	"step3,silence1000,step1"	same	0.543740881	1000	step3	step1	different	no
7	discrimination	1	62	"step3,silence1000,step3"	same	0.775916984	1000	step3	step3	same	yes
7	discrimination	1	63	"step3,silence1000,step5"	same	1.205447027	1000	step3	step5	different	no
7	discrimination	1	64	"step3,silence2000,step1"	different	1.234089913	2000	step3	step1	different	yes
7	discrimination	1	65	"step3,silence2000,step3"	same	0.234660055	2000	step3	step3	same	yes
7	discrimination	1	66	"step3,silence2000,step5"	same	1.876507103	2000	step3	step5	different	no
7	discrimination	1	67	"step3,silence250,step1"	same	0.553141976	250	step3	step1	different	no
7	discrimination	1	68	"step3,silence250,step3"	same	0.531250904	250	step3	step3	same	yes
7	discrimination	1	69	"step3,silence250,step5"	same	1.222701916	250	step3	step5	different	no
7	discrimination	1	70	"step3,silence500,step1"	same	0.382759916	500	step3	step1	different	no
7	discrimination	1	71	"step3,silence500,step3"	same	0.411247946	500	step3	step3	same	yes
7	discrimination	1	72	"step3,silence500,step5"	same	1.323477017	500	step3	step5	different	no
7	discrimination	1	73	"step3,step1"	different	1.625041938	0	step3	step1	different	yes
7	discrimination	1	74	"step3,step3"	same	0.696827951	0	step3	step3	same	yes
7	discrimination	1	75	"step3,step5"	different	0.892852065	0	step3	step5	different	yes
7	discrimination	1	76	"step5,silence1000,step3"	different	0.324546018	1000	step5	step3	different	yes
7	discrimination	1	77	"step5,silence1000,step5"	different	0.859826976	1000	step5	step5	same	no
